Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDZ36,OUT027,4536.394655
FDK27,OUT045,1832.596668
FDW23,OUT018,821.0809442
FDM14,OUT018,1509.869709
FDM14,OUT013,1683.745405
FDW60,OUT018,2639.769047
FDE21,OUT013,1917.391765
NCM42,OUT035,1981.472709
FDY59,OUT010,178.4974232
DRI49,OUT049,1431.848212
FDT28,OUT019,287.5334653
FDQ22,OUT018,770.2065103
FDR60,OUT049,1264.581632
FDC50,OUT019,309.542127
FDV24,OUT013,2450.830704
DRF48,OUT010,565.9343359
FDQ47,OUT046,892.3696685
DRN36,OUT049,1667.246285
NCY06,OUT035,2141.511084
FDE52,OUT035,1434.199882
NCB54,OUT045,1627.983372
NCF31,OUT035,2571.265445
FDJ08,OUT027,5061.67153
NCC07,OUT017,1729.140319
NCD19,OUT027,2157.781446
FDL46,OUT049,1923.65324
FDM20,OUT045,4039.922917
NCI06,OUT010,449.6717911
DRM11,OUT035,3905.821063
NCH07,OUT018,2365.346696
FDS23,OUT013,2074.466664
FDO49,OUT018,823.6671902
FDS35,OUT049,1095.315503
DRK39,OUT045,1337.331413
DRI39,OUT049,910.3244564
FDV04,OUT017,2019.416307
NCN14,OUT035,2813.257709
FDH08,OUT013,3775.224583
FDS20,OUT046,2925.027184
FDV40,OUT049,1113.052613
FDZ48,OUT010,207.5487249
FDS24,OUT027,2653.000282
FDK44,OUT049,2656.449976
FDS48,OUT045,2364.189939
FDK26,OUT010,512.3302265
FDD23,OUT045,3227.308564
NCH54,OUT017,2597.428575
NCP14,OUT010,237.7065003
FDM60,OUT010,145.0194273
FDV24,OUT017,2428.430478
FDH08,OUT018,3232.153643
FDS12,OUT027,3080.510899
FDR39,OUT027,4985.14182
FDP12,OUT027,1871.548144
DRF60,OUT027,5224.096915
FDC09,OUT035,1883.021996
FDF50,OUT018,2929.914413
FDG28,OUT035,3866.733528
NCE19,OUT017,891.7263848
NCM53,OUT010,288.360723
NCN18,OUT049,1604.860106
FDF32,OUT035,3235.657729
FDF11,OUT013,3490.740755
DRI59,OUT049,3995.176178
NCG54,OUT035,3120.574107
FDM44,OUT046,1570.105209
FDT57,OUT018,2391.160733
FDV24,OUT046,2590.869235
FDI50,OUT019,617.9179418
FDS09,OUT035,920.0325343
NCC31,OUT027,4109.702134
FDQ07,OUT019,414.4608739
FDC22,OUT017,3011.353246
FDZ56,OUT046,2548.721329
FDZ40,OUT019,159.7867884
FDS46,OUT027,3000.472267
DRD24,OUT045,1759.532714
FDV45,OUT017,3210.032783
FDL26,OUT045,2899.373155
FDA56,OUT018,1511.602738
FDN27,OUT046,1717.55146
FDM20,OUT049,4239.905105
FDO16,OUT017,1788.347076
FDL03,OUT035,3328.238989
FDE58,OUT046,2051.802514
FDI02,OUT027,3024.45487
NCC55,OUT019,175.7873659
FDR03,OUT018,2899.687796
FDB14,OUT017,1665.772599
FDR45,OUT013,3734.797568
NCN07,OUT017,1948.708089
FDM51,OUT019,268.5690984
FDT52,OUT027,5447.849271
FDL26,OUT046,2621.815114
NCZ42,OUT046,2987.382641
DRI47,OUT019,379.720066
FDW40,OUT013,2264.65885
FDN34,OUT046,3328.61156
FDS01,OUT035,3352.367294
NCG55,OUT045,1714.030459
FDC11,OUT035,1484.69724
FDX35,OUT018,2954.521965
NCB06,OUT046,2393.976917
FDR09,OUT019,511.2419543
FDC53,OUT017,1684.064652
FDY45,OUT013,3852.960924
FDA22,OUT010,440.7375005
FDE02,OUT035,1773.273925
FDW21,OUT045,1709.992728
FDV34,OUT046,1313.370098
FDS59,OUT049,2082.573669
NCW17,OUT017,2391.233133
NCK54,OUT046,1916.93926
FDG17,OUT019,552.5678285
FDG35,OUT017,3518.834601
FDD08,OUT010,146.7926566
NCO07,OUT017,3791.943307
FDJ10,OUT010,353.2341846
FDW36,OUT017,1735.066876
FDW21,OUT010,248.3840102
FDY19,OUT017,2072.164999
DRE03,OUT013,725.7235597
NCC55,OUT049,832.5554499
FDH52,OUT010,165.9907673
FDO09,OUT017,4040.918282
FDU43,OUT045,3889.497931
FDX09,OUT010,441.4174136
FDH40,OUT019,229.6959843
FDW58,OUT017,1919.835656
FDC47,OUT017,4300.418253
NCR41,OUT035,1757.173175
DRG49,OUT035,4524.834221
FDC52,OUT027,4137.229968
FDY13,OUT046,1232.113124
FDY35,OUT013,893.5519428
FDI35,OUT017,3974.296419
NCU18,OUT049,2488.607153
FDY33,OUT018,2574.684767
FDC15,OUT027,4096.232678
FDU01,OUT049,3102.705174
NCU42,OUT046,2903.646407
NCV29,OUT018,2438.94349
NCY30,OUT017,3043.118538
FDQ46,OUT049,1803.825636
FDG58,OUT027,3968.399353
FDK33,OUT017,4307.587014
NCD07,OUT045,1430.291457
NCX29,OUT027,3817.910343
NCT42,OUT013,2367.066853
DRN59,OUT035,829.9178509
FDI44,OUT035,1375.496223
FDA45,OUT049,2189.039399
FDP31,OUT045,1035.745451
FDY01,OUT046,1882.537762
FDT09,OUT018,1837.424373
DRH03,OUT027,2668.000886
FDA36,OUT018,2494.581889
NCF31,OUT017,2365.281841
FDG14,OUT049,2519.972472
FDG28,OUT027,5432.416923
FDU14,OUT049,3536.475375
FDY47,OUT019,302.872589
FDI56,OUT049,1527.577031
DRD01,OUT013,871.674609
FDM22,OUT046,1069.010281
FDH33,OUT013,737.7843679
DRZ24,OUT013,2038.578038
NCQ38,OUT046,1672.402305
FDO16,OUT027,2496.668442
FDU07,OUT027,4062.955104
NCB07,OUT013,2694.324652
FDU48,OUT045,1695.695932
NCM43,OUT045,2502.114398
FDR31,OUT010,301.4300247
DRK49,OUT018,635.3429196
NCI30,OUT010,685.7521517
DRD60,OUT017,3317.439498
NCG19,OUT046,3216.327301
FDH12,OUT035,1714.227315
FDM32,OUT035,1745.556144
FDM27,OUT035,2626.94738
NCU53,OUT027,4431.148406
NCQ18,OUT046,1766.122942
FDS10,OUT013,3127.919823
FDB33,OUT027,4489.708248
FDI12,OUT013,1312.379587
NCW42,OUT013,3777.838707
NCC06,OUT018,1791.459599
FDW02,OUT017,2200.164526
NCD43,OUT017,1712.81023
FDM57,OUT018,1169.445129
FDA58,OUT017,3463.40941
FDK56,OUT046,3052.472784
FDP52,OUT045,3923.429274
FDW20,OUT018,1632.182893
FDS52,OUT049,1594.218491
NCT29,OUT018,1617.957801
NCL54,OUT013,2994.825224
FDC05,OUT045,2680.826457
FDF34,OUT035,2745.136529
FDP03,OUT027,3064.64105
FDD32,OUT010,181.0031562
FDZ10,OUT045,1944.329546
FDZ40,OUT035,874.0852294
FDD51,OUT018,811.2980488
NCY30,OUT019,395.2197702
FDP58,OUT017,3524.827058
FDV49,OUT017,4213.565599
FDY24,OUT019,189.9943345
NCO55,OUT017,1594.778965
FDR13,OUT017,1963.907222
FDS51,OUT017,1011.66215
FDP26,OUT045,1371.648271
NCB54,OUT027,3313.925279
FDF32,OUT017,3144.914779
FDN31,OUT018,2622.899512
DRM48,OUT017,798.6595477
FDN20,OUT049,2916.999045
DRL01,OUT046,3542.243584
FDV56,OUT049,1558.166403
DRH13,OUT027,2712.017732
FDA03,OUT017,2481.326815
FDF47,OUT027,4856.433333
FDX32,OUT046,2695.417197
FDX57,OUT049,1894.976065
NCA30,OUT045,2927.698639
FDO49,OUT013,741.559309
FDL04,OUT019,237.0259991
DRM48,OUT035,838.118096
FDR16,OUT013,3394.160629
NCC19,OUT018,2794.657644
NCE42,OUT045,2795.446103
FDY24,OUT017,1190.372153
FDH19,OUT049,2652.398696
FDJ46,OUT013,2648.84446
FDN45,OUT010,584.7465727
FDY08,OUT035,2188.04425
FDZ37,OUT035,1551.898728
NCT30,OUT045,928.4862715
DRY23,OUT018,682.8908978
NCZ30,OUT018,1778.777768
FDC44,OUT018,1535.01352
FDB45,OUT035,1922.188918
FDY04,OUT013,2430.351158
FDM27,OUT046,2446.750153
FDZ43,OUT017,4461.528538
FDT39,OUT019,329.8479721
NCC06,OUT019,323.129705
FDL15,OUT027,4225.870938
FDL57,OUT017,4732.907842
FDU08,OUT046,1528.933002
FDK40,OUT017,3813.534833
FDQ12,OUT010,463.7086991
FDS48,OUT017,2673.073168
FDP09,OUT045,3249.622225
FDW21,OUT049,1701.321303
FDY25,OUT035,3462.256456
DRE13,OUT017,1498.631152
FDV43,OUT019,167.3658961
FDD22,OUT045,1727.442631
FDM46,OUT019,298.55769
NCO30,OUT010,466.5838653
FDM25,OUT046,2629.352915
NCN41,OUT049,2032.931792
FDU24,OUT045,1583.869983
FDZ50,OUT046,3115.815698
FDP45,OUT013,4113.059892
NCM54,OUT045,1681.249298
FDW10,OUT019,370.2584818
FDP20,OUT017,2040.668414
FDK32,OUT046,2593.753612
FDN52,OUT049,1293.334675
FDM58,OUT045,2033.584631
FDZ46,OUT027,3112.12834
NCA18,OUT018,1689.48794
FDD35,OUT046,2010.702174
NCK31,OUT035,948.340724
FDI40,OUT027,2798.18091
FDT50,OUT019,247.3522853
NCT06,OUT046,2695.170602
FDT31,OUT035,3010.058808
FDT45,OUT049,915.3599266
FDT13,OUT045,2977.834295
FDO50,OUT045,1509.227446
NCU18,OUT010,288.9920746
NCR54,OUT049,3378.704614
NCO18,OUT018,2509.54649
FDU09,OUT045,865.5251847
FDT13,OUT018,2477.078735
FDE09,OUT046,1822.39734
NCK53,OUT019,273.9010411
FDG45,OUT049,3664.642974
DRH15,OUT035,835.7973758
FDO21,OUT019,482.7125201
FDD14,OUT027,4611.304053
FDC09,OUT046,1651.346909
FDH45,OUT027,1990.491261
FDV32,OUT046,1233.902953
FDG12,OUT035,2089.004999
FDS32,OUT013,2115.138208
NCL55,OUT018,3370.218356
DRE01,OUT035,4529.031719
DRE15,OUT049,1260.16563
NCL42,OUT045,3708.396834
FDP31,OUT013,1083.815044
FDN33,OUT018,1393.361744
FDZ59,OUT046,3083.811581
FDE45,OUT010,404.6920932
FDJ07,OUT013,1630.474134
FDQ45,OUT018,2778.772364
FDM33,OUT027,5175.246182
FDO15,OUT010,178.1966512
FDM46,OUT013,1592.979983
FDR03,OUT045,3085.451499
FDY49,OUT018,2284.532266
FDQ60,OUT045,1815.331768
FDW10,OUT049,2513.190253
FDO51,OUT049,922.6296418
FDJ40,OUT018,1447.774529
FDS20,OUT018,2531.151068
FDU45,OUT013,2265.886899
FDV02,OUT035,2725.998696
FDN09,OUT046,3212.114871
NCM55,OUT027,4391.16747
FDN23,OUT018,2432.118219
FDY31,OUT010,354.3756608
FDW03,OUT010,278.3773146
FDD14,OUT046,2868.77726
FDV23,OUT017,1809.240831
DRI03,OUT045,2347.543458
FDN13,OUT035,1448.091134
FDF45,OUT027,2299.138774
FDU46,OUT035,1531.188793
FDB57,OUT049,3466.126541
FDV12,OUT049,1938.787857
FDQ58,OUT013,2320.991952
NCA18,OUT017,1829.564084
FDH52,OUT049,946.9359088
FDM24,OUT018,2308.269686
NCP43,OUT027,4363.126378
NCO18,OUT019,391.4226879
FDM32,OUT017,1487.017534
NCL07,OUT017,734.5472597
FDK03,OUT013,4576.612469
FDP59,OUT017,1818.129913
FDQ24,OUT049,3832.427355
FDQ16,OUT018,1455.995655
FDU44,OUT013,2362.223713
FDH28,OUT010,151.6845134
FDV28,OUT019,146.336001
FDM22,OUT045,941.7191705
FDR56,OUT046,2598.826401
FDV39,OUT049,2908.524662
FDU37,OUT019,246.9330658
FDQ11,OUT010,680.950537
FDX02,OUT045,4049.577072
NCS42,OUT018,1487.284886
FDY57,OUT027,2804.475363
FDB21,OUT049,3761.98472
FDE28,OUT017,3217.268485
FDQ55,OUT017,2224.985065
FDA48,OUT049,3665.972098
FDZ19,OUT045,2424.348905
NCC43,OUT045,3277.537277
NCV18,OUT046,1466.14289
NCA42,OUT018,2615.136518
FDY45,OUT046,3323.332355
NCC30,OUT045,2867.277845
FDM57,OUT013,1406.652797
FDL09,OUT010,419.8740166
FDB09,OUT027,3401.711163
FDT44,OUT035,1876.180644
NCT06,OUT027,4252.401011
FDX26,OUT049,3373.123457
FDK32,OUT013,2481.566206
DRA12,OUT046,2045.643265
FDO46,OUT010,549.5307461
FDE52,OUT013,1314.651077
NCH42,OUT045,3620.984413
FDV08,OUT035,838.6658504
FDB47,OUT018,2501.2758
FDC28,OUT010,231.4775348
FDD22,OUT046,1694.056452
FDS07,OUT027,3283.943023
DRI13,OUT045,3265.288032
FDG32,OUT018,3330.625651
FDU14,OUT017,3808.495412
FDD28,OUT019,167.8465895
NCP41,OUT017,1720.571066
FDS08,OUT049,2532.624431
FDX47,OUT045,2376.021697
FDC53,OUT019,228.7648734
FDQ19,OUT035,3776.324066
FDL14,OUT045,2424.805984
FDM33,OUT019,498.6003755
FDA51,OUT045,1814.758768
FDZ27,OUT018,855.7843177
FDT04,OUT046,720.9890889
DRC13,OUT049,1997.40202
FDR16,OUT027,5075.203791
FDQ03,OUT027,5503.546466
FDE38,OUT035,2812.129308
DRH23,OUT027,2241.132781
FDT11,OUT019,503.2507685
FDD09,OUT035,3109.75246
FDR40,OUT045,1330.855241
FDX07,OUT017,2983.533275
FDR07,OUT035,2085.996967
FDA51,OUT017,1901.576948
FDT59,OUT019,553.7174145
FDF20,OUT017,3187.019658
FDR13,OUT045,1758.129397
FDY26,OUT049,3330.340686
FDW04,OUT017,1943.109922
FDK52,OUT017,4401.966941
FDN60,OUT049,2862.891376
FDM09,OUT019,392.89923
FDP46,OUT049,1540.94368
FDB50,OUT019,287.0081657
NCQ29,OUT049,3652.138167
FDP16,OUT027,5472.9566
FDX33,OUT018,2496.624125
FDP07,OUT010,487.6824156
FDN22,OUT046,3380.312234
FDF39,OUT049,3951.560659
FDS21,OUT017,1016.576605
NCM42,OUT013,1759.109093
FDK50,OUT019,489.1687336
DRF13,OUT027,3828.421206
FDH35,OUT018,2256.787389
FDP60,OUT018,1482.691046
DRJ49,OUT027,2900.568362
NCT42,OUT019,358.0521142
FDE38,OUT049,2483.640992
FDI04,OUT049,3445.784026
NCH54,OUT045,2672.449269
FDT56,OUT049,968.7636834
DRD15,OUT018,3129.520002
FDV58,OUT013,2815.298149
FDP21,OUT049,3320.739803
FDH05,OUT013,3155.593323
FDR10,OUT027,4379.601381
NCP06,OUT045,2054.357243
FDF33,OUT049,1811.341493
DRK37,OUT013,3466.753285
DRH49,OUT045,1304.084592
FDT58,OUT013,2705.569682
FDD41,OUT018,1507.764764
FDP40,OUT018,1931.842837
FDM51,OUT027,2777.317142
FDO45,OUT010,200.345634
FDW33,OUT010,267.8662771
FDY24,OUT045,1193.287245
FDB10,OUT010,532.3191204
FDM40,OUT035,2220.996589
NCI06,OUT017,3487.506041
FDW12,OUT019,317.8954222
FDX48,OUT027,4126.135668
NCW05,OUT027,2834.120814
FDX27,OUT017,1619.519936
DRM37,OUT045,3212.660706
FDA38,OUT045,3404.694987
FDR36,OUT046,795.433057
FDZ45,OUT046,3203.806321
FDG05,OUT017,2378.986335
FDK28,OUT013,4855.932769
FDV47,OUT045,1411.245212
FDN21,OUT045,2493.30771
FDP20,OUT027,2972.669738
FDI35,OUT045,3125.760498
DRY23,OUT013,859.362843
FDA56,OUT017,2047.992726
FDB09,OUT013,1818.509071
NCO26,OUT027,2945.421397
FDQ49,OUT018,2605.680816
FDI52,OUT027,2904.762372
FDZ44,OUT027,3288.958958
FDZ09,OUT018,2604.125884
FDY03,OUT049,2095.533548
NCG42,OUT017,2379.578123
DRI13,OUT027,5570.988265
FDQ32,OUT013,2098.284804
FDW16,OUT035,1345.767038
FDU27,OUT046,923.4915849
FDR28,OUT010,382.7976833
FDQ49,OUT010,437.5893657
FDS37,OUT046,1872.478955
FDW26,OUT018,3233.119728
FDX12,OUT018,2856.474588
NCP06,OUT013,2632.78681
FDW45,OUT010,336.7902232
NCN30,OUT049,1595.901275
FDN24,OUT049,935.9682485
NCL41,OUT027,1882.537536
FDR02,OUT019,267.3972948
FDD09,OUT010,466.6605907
FDS33,OUT010,212.486559
FDU22,OUT045,1699.092187
FDI53,OUT013,2240.925722
DRH01,OUT049,2904.997066
FDX32,OUT013,2245.290755
NCP30,OUT018,744.6402146
FDB60,OUT045,2809.202415
FDB14,OUT049,1494.251223
NCP02,OUT035,962.2269693
FDJ10,OUT017,2074.684055
FDG34,OUT046,1849.397754
NCB18,OUT017,1503.920526
FDM16,OUT049,1140.61058
FDW25,OUT018,1417.085574
FDB35,OUT010,194.099661
DRN11,OUT013,2224.890609
FDF41,OUT019,564.7110265
FDH16,OUT045,1300.822673
NCQ50,OUT018,2869.923092
DRH23,OUT018,940.3592219
DRJ37,OUT013,2318.110417
DRJ24,OUT027,4755.59587
FDY16,OUT035,3208.93776
FDQ27,OUT045,1791.752312
FDZ33,OUT045,2235.981439
FDF29,OUT045,1936.064314
FDA08,OUT049,3234.55396
FDG31,OUT046,1140.912464
FDE34,OUT019,572.3838115
NCR30,OUT027,2308.380252
FDV33,OUT035,4286.522764
DRZ24,OUT018,1519.711283
NCL54,OUT035,3100.880964
FDR12,OUT049,3131.243022
NCC54,OUT046,4232.653381
DRN59,OUT013,832.6291037
FDX50,OUT019,236.0212382
FDV31,OUT027,4749.318295
NCA29,OUT027,4540.983789
FDW60,OUT049,3309.656526
FDX08,OUT017,3112.222481
DRD49,OUT013,3832.113212
FDD33,OUT046,3636.765818
FDW35,OUT013,795.2066073
FDJ36,OUT017,1816.733153
FDV51,OUT035,3384.038871
FDW36,OUT046,1706.25674
FDH35,OUT046,2577.077468
NCS30,OUT027,3155.467739
FDN49,OUT017,781.4977776
FDL08,OUT018,2827.622562
FDI09,OUT013,3380.412032
FDP19,OUT018,1626.948203
FDU21,OUT010,132.0597141
NCP41,OUT045,1591.886189
FDY10,OUT013,1901.305713
FDP12,OUT018,723.2774772
NCN26,OUT049,2195.926556
FDK44,OUT013,2961.561121
FDC28,OUT049,1567.793841
FDJ41,OUT027,5506.926931
NCT29,OUT035,1937.992083
NCH42,OUT019,463.4238764
FDU60,OUT018,2601.974032
FDS02,OUT045,2984.586687
FDC51,OUT046,2105.871339
FDU03,OUT013,3349.112331
FDX39,OUT045,3295.357022
NCY05,OUT010,155.3744399
NCL06,OUT027,5359.916517
FDD32,OUT035,1380.21516
NCN41,OUT045,1691.286056
NCX53,OUT049,2308.349957
FDU57,OUT019,296.7984629
FDQ23,OUT046,2030.299834
FDQ52,OUT045,4682.100634
FDC14,OUT045,672.9808635
FDY09,OUT035,3639.171682
FDQ28,OUT045,2643.514408
FDV25,OUT046,4149.379546
FDJ07,OUT035,1962.53873
DRB25,OUT049,1644.710616
FDK52,OUT019,612.4174428
FDY52,OUT027,2049.631558
FDB28,OUT046,3642.133019
FDT36,OUT035,704.6128905
FDV25,OUT017,4025.492865
NCN07,OUT027,3159.263238
FDC57,OUT017,3274.106464
FDQ03,OUT018,3209.383493
FDU23,OUT017,2853.265987
NCX41,OUT035,3687.19995
NCD06,OUT035,853.8657212
FDW08,OUT045,1664.713638
NCU29,OUT017,2446.527011
NCE06,OUT013,2520.522838
FDV52,OUT010,225.490008
FDB02,OUT017,2988.987174
NCR18,OUT045,685.8948529
FDK16,OUT049,1501.931816
NCQ29,OUT010,567.2088495
FDZ01,OUT019,263.4953096
FDW27,OUT035,2429.168525
FDD17,OUT018,3442.320572
FDW39,OUT013,2758.517304
DRH59,OUT045,1019.376879
FDS52,OUT013,1257.197762
FDU40,OUT027,5215.016776
NCF54,OUT013,2668.305536
FDH46,OUT045,1654.486366
NCP14,OUT049,1693.939646
FDH50,OUT049,3044.550456
DRF15,OUT010,331.7396191
FDV27,OUT027,2700.769141
NCJ06,OUT049,2174.463832
FDN02,OUT018,2808.926992
FDQ51,OUT049,991.715092
FDQ07,OUT017,4524.077408
FDS45,OUT049,1893.409914
NCJ06,OUT045,1685.621999
FDD36,OUT035,1915.260682
FDY25,OUT045,2952.009214
FDU52,OUT046,2590.393414
DRK47,OUT017,3740.092191
NCL30,OUT017,2082.321802
FDN22,OUT035,3816.132592
NCF30,OUT027,3278.319976
FDK03,OUT035,4594.734349
FDT45,OUT017,867.9015437
NCC54,OUT027,5267.560976
FDP08,OUT018,3064.807941
FDU44,OUT046,2558.641902
DRG39,OUT035,829.5160621
FDU32,OUT049,1957.046132
FDY27,OUT049,2909.757945
NCP54,OUT013,2019.035986
NCZ41,OUT049,1978.472746
DRL49,OUT013,2249.938903
FDI05,OUT018,1093.257738
FDY56,OUT045,4534.886942
DRC13,OUT013,1901.315099
NCV29,OUT017,3021.34591
FDR24,OUT049,1305.053098
FDZ34,OUT018,2510.000221
FDP37,OUT035,2048.002111
FDX08,OUT027,4915.798029
FDS57,OUT045,1866.939259
NCG18,OUT049,1722.687989
FDK25,OUT018,2676.043438
FDH53,OUT049,1552.081118
DRI59,OUT018,2938.780803
FDA52,OUT046,2634.922953
FDT20,OUT010,153.9223118
FDE36,OUT019,442.5067605
FDI24,OUT017,2677.690966
FDB28,OUT018,2992.102105
FDV11,OUT017,2596.788174
FDP01,OUT046,2123.056944
FDD34,OUT027,4139.561751
FDJ50,OUT027,2137.275398
FDZ44,OUT013,1737.036463
DRO59,OUT035,1407.583519
DRB48,OUT045,927.8050617
FDR21,OUT018,2504.484943
NCE42,OUT010,587.6063553
FDO23,OUT046,1586.025166
NCE30,OUT018,2906.599454
FDQ22,OUT035,772.8684749
FDY01,OUT045,1839.714064
FDS08,OUT017,2334.866144
FDG28,OUT018,3135.35436
FDQ51,OUT018,853.0947905
FDB05,OUT017,4366.56932
FDO56,OUT049,2177.666218
FDE02,OUT018,1243.718515
FDN45,OUT017,3958.346039
FDS09,OUT013,752.7461884
NCA54,OUT018,2424.098369
FDP09,OUT010,510.7187133
FDC53,OUT045,1172.01026
NCM55,OUT017,3096.747186
FDL09,OUT018,2745.014833
FDA11,OUT019,297.0434623
FDA50,OUT045,1541.732424
FDC23,OUT017,3909.104056
FDE22,OUT049,2694.764696
FDD23,OUT046,3587.532564
NCA29,OUT049,3583.028606
FDK38,OUT046,2239.611938
DRC13,OUT046,2100.459225
NCP43,OUT049,3088.128941
FDX28,OUT049,1430.621237
FDF08,OUT049,1477.396415
FDZ33,OUT046,2532.837353
FDD10,OUT049,2516.882228
FDO58,OUT017,2601.24719
FDI50,OUT017,4169.589583
FDO58,OUT045,2520.042889
FDX08,OUT013,3504.098231
NCK17,OUT010,157.0004116
FDF39,OUT035,4987.281984
FDU45,OUT010,271.0789096
NCJ18,OUT018,1615.675849
DRC27,OUT019,522.8833583
DRC25,OUT035,1514.026899
FDU59,OUT035,2427.044758
FDU28,OUT035,3190.402688
NCP30,OUT046,743.7084042
FDB39,OUT018,961.5737341
FDE41,OUT013,1405.369224
DRH11,OUT010,163.2789174
FDA58,OUT045,3338.363096
FDU50,OUT046,1741.887491
FDM34,OUT013,2255.621572
FDM44,OUT027,2905.765013
FDR39,OUT045,2755.323856
FDM25,OUT045,2670.414829
FDQ49,OUT049,2186.383527
DRH25,OUT018,874.5443768
FDM09,OUT027,4198.338297
FDL44,OUT019,437.5894957
NCR42,OUT018,691.2512936
DRL59,OUT046,890.6875443
FDX43,OUT013,2608.911014
DRK47,OUT010,546.9154677
FDU48,OUT018,1524.661224
FDY12,OUT045,864.8483882
NCN43,OUT018,1626.045819
NCM55,OUT018,2466.653489
FDQ21,OUT027,3057.575914
FDX13,OUT035,3985.853925
NCK30,OUT027,4896.686144
FDG20,OUT049,2767.740503
DRG27,OUT017,779.8437058
FDY14,OUT018,3659.255704
FDP59,OUT035,1858.64636
FDU60,OUT017,2893.285761
NCC18,OUT019,471.5851302
DRJ39,OUT017,3674.396184
FDS07,OUT049,1870.554731
FDM08,OUT027,5319.874274
FDP51,OUT045,1794.353386
FDU16,OUT035,1319.846938
FDH12,OUT013,1956.470108
DRE48,OUT010,517.5905823
NCL42,OUT027,5572.039849
